user,total_logons,off_hours_ratio,weekend_ratio,unique_pc_count,hour_variance,device_connects,device_disconnects,missing_disconnects,file_operations,suspicious_file_ops,removable_media_ops,off_hours_ratio_normalized,weekend_ratio_normalized,unique_pc_count_normalized,hour_variance_normalized,missing_disconnects_normalized,suspicious_file_ops_normalized,removable_media_ops_normalized,risk_score,risk_level
DNS1758,4104,0.5509259259259259,0.1301169590643275,1226,7.0685230487825335,0,0,0,63,0,0,0.5509259259259259,0.4237142000299895,1.0,0.905571273995211,0.0,0.0,0,0.48853480583192094,medium
ANC1950,932,0.5815450643776824,0.09871244635193133,1,6.240378976214793,145,145,0,2990,2004,0,0.5815450643776824,0.32144822273577633,0.0008156606851549756,0.7994750672387062,0.0,0.23780704877180492,0,0.4067267770346563,medium
SAB1954,1328,0.40436746987951805,0.15737951807228914,21,5.139382463304427,161,161,0,814,86,0,0.40436746987951805,0.5124922767995057,0.017128874388254486,0.6584228547779643,0.0,0.010205292512163285,0,0.27771363548496847,low
LIM1718,1473,0.319755600814664,0.17651052274270196,125,4.4968199774594675,0,0,0,71,0,0,0.319755600814664,0.5747906766236704,0.10195758564437195,0.576102103340594,0.0,0.0,0,0.26315277982226337,low
LSN1672,1475,0.3586440677966102,0.28135593220338984,37,4.63387516285304,0,0,0,1158,0,0,0.3586440677966102,0.9162103433289874,0.030179445350734094,0.5936606849548797,0.0,0.0,0,0.3215793920526291,medium
JEV3132,1360,0.4213235294117647,0.13529411764705881,38,4.592854908914983,0,0,0,93,0,0,0.4213235294117647,0.44057315233785815,0.03099510603588907,0.5884054479892604,0.0,0.0,0,0.2638265314281533,low
HDB1666,1610,0.453416149068323,0.284472049689441,1,5.3801659333799785,567,563,4,1143,767,0,0.453416149068323,0.9263577002707438,0.0008156606851549756,0.6892704013231878,0.13793103448275862,0.09101696926545627,0,0.42861978133965384,medium
CBA1023,992,0.49193548387096775,0.2217741935483871,26,5.411054101170259,4049,4033,16,841,496,0,0.49193548387096775,0.722187758478081,0.021207177814029365,0.6932275840704436,0.5517241379310345,0.05885843123294174,0,0.5000595019651896,medium
LAF2213,1728,0.5399305555555556,0.24363425925925927,88,5.219976049527851,543,542,1,1039,705,0,0.5399305555555556,0.7933731006647674,0.07177814029363784,0.6687479589119544,0.034482758620689655,0.08365966536133855,0,0.416675186861083,medium
ROR3483,1000,0.767,0.276,1,5.537343964228534,4009,3989,20,892,587,0,0.767,0.8987692307692308,0.0008156606851549756,0.7094069855370713,0.6896551724137931,0.06965705470511452,0,0.6556081018026398,medium
RJH0219,1411,0.5272856130403969,0.12756909992912827,81,4.945857214508947,0,0,0,149,0,0,0.5272856130403969,0.4154173254102382,0.06606851549755302,0.633629711303367,0.0,0.0,0,0.30392395509848086,medium
SDH2394,1192,0.6686241610738255,0.25,96,5.206400649534586,4206,4183,23,13882,6971,0,0.6686241610738255,0.8141025641025641,0.07830342577487764,0.6670087706569181,0.7931034482758621,0.8272220244452355,0,0.9547888798822901,high
GNT0221,1121,0.5405887600356825,0.08117752007136485,13,4.720436799268567,3430,3416,14,2346,976,0,0.5405887600356825,0.2643473089503419,0.010603588907014683,0.604750375237692,0.4827586206896552,0.1158182033938531,0,0.43831505328351,medium
JLC0216,1417,0.6083274523641496,0.2399435426958363,1,5.07684500320978,0,0,0,87,0,0,0.6083274523641496,0.7813546133941335,0.0008156606851549756,0.6504109791683786,0.0,0.0,0,0.38120745631533176,medium
